name,smiles,xyz_file
anti_C_O_p-CNbenz_3-OMe,C1=C2C=C(C(OC)=C4)C(O4)=CC2=CC3=CC(C(C=C7(C#N))=C5(C=C7))=C(C=C5)C=C13,structures/anti_C_O_p-CNbenz_3-OMe.xyz
anti_C_O_tetClbenz_m-OMebenz,C1=C2C=C(C(C=C6)=C4(C=C6(OC)))C(O4)=CC2=CC3=CC(C(C(Cl)=C7(Cl))=C5(C(Cl)=C7(Cl)))=C(C=C5)C=C13,structures/anti_C_O_tetClbenz_m-OMebenz.xyz
anti_C_S_2-CF3_diCF3,C1=C2C=C(C(C(F)(F)(F))=C4(C(F)(F)(F)))C(S4)=CC2=CC3=CC(C=C5(C(F)(F)(F)))=C(C=C5)C=C13,structures/anti_C_S_2-CF3_diCF3.xyz
anti_C_S_2-OMe_diCF3,C1=C2C=C(C(C(F)(F)(F))=C4(C(F)(F)(F)))C(S4)=CC2=CC3=CC(C=C5(OC))=C(C=C5)C=C13,structures/anti_C_S_2-OMe_diCF3.xyz
anti_C_S_3-F_p-CNbenz,C1=C2C=C(C(C=C6(C#N))=C4(C=C6))C(S4)=CC2=CC3=CC(C(F)=C5)=C(C=C5)C=C13,structures/anti_C_S_3-F_p-CNbenz.xyz
anti_C_S_3-OMe_m-CNbenz,C1=C2C=C(C(C=C6)=C4(C=C6(C#N)))C(S4)=CC2=CC3=CC(C(OC)=C5)=C(C=C5)C=C13,structures/anti_C_S_3-OMe_m-CNbenz.xyz
anti_C_S_benz_diOMe,C1=C2C=C(C(OC)=C4(OC))C(S4)=CC2=CC3=CC(C(C=C7)=C5(C=C7))=C(C=C5)C=C13,structures/anti_C_S_benz_diOMe.xyz
anti_C_S_m-CF3benz_2-F,C1=C2C=C(C=C4(F))C(S4)=CC2=CC3=CC(C(C=C7)=C5(C=C7(C(F)(F)(F))))=C(C=C5)C=C13,structures/anti_C_S_m-CF3benz_2-F.xyz
anti_C_S_p-CNbenz_benz,C1=C2C=C(C(C=C6)=C4(C=C6))C(S4)=CC2=CC3=CC(C(C=C7(C#N))=C5(C=C7))=C(C=C5)C=C13,structures/anti_C_S_p-CNbenz_benz.xyz
anti_NMe_NMe_2-CF3_diCF3,C1=C2C=C(C(C(F)(F)(F))=C4(C(F)(F)(F)))C(N4C)=CC2=CC3=CC(C=C5(C(F)(F)(F)))=C(N5C)C=C13,structures/anti_NMe_NMe_2-CF3_diCF3.xyz
anti_NMe_NMe_2-Cl_3-CF3,C1=C2C=C(C(C(F)(F)(F))=C4)C(N4C)=CC2=CC3=CC(C=C5(Cl))=C(N5C)C=C13,structures/anti_NMe_NMe_2-Cl_3-CF3.xyz
anti_NMe_NMe_2-CN_benz,C1=C2C=C(C(C=C6)=C4(C=C6))C(N4C)=CC2=CC3=CC(C=C5(C#N))=C(N5C)C=C13,structures/anti_NMe_NMe_2-CN_benz.xyz
anti_NMe_NMe_2-F_diCF3,C1=C2C=C(C(C(F)(F)(F))=C4(C(F)(F)(F)))C(N4C)=CC2=CC3=CC(C=C5(F))=C(N5C)C=C13,structures/anti_NMe_NMe_2-F_diCF3.xyz
anti_NMe_NMe_diCl_diCN,C1=C2C=C(C(C#N)=C4(C#N))C(N4C)=CC2=CC3=CC(C(Cl)=C5(Cl))=C(N5C)C=C13,structures/anti_NMe_NMe_diCl_diCN.xyz
anti_NMe_NMe_diF_tetClbenz,C1=C2C=C(C(C(Cl)=C6(Cl))=C4(C(Cl)=C6(Cl)))C(N4C)=CC2=CC3=CC(C(F)=C5(F))=C(N5C)C=C13,structures/anti_NMe_NMe_diF_tetClbenz.xyz
anti_NMe_NPh_2-CN_3-OMe,C1=C2C=C(C(OC)=C4)C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C=C5(C#N))=C(N5C)C=C13,structures/anti_NMe_NPh_2-CN_3-OMe.xyz
anti_NMe_NPh_3-F_3-CN,C1=C2C=C(C(C#N)=C4)C(N4(C9=CC=CC=C9))=CC2=CC3=CC(C(F)=C5)=C(N5C)C=C13,structures/anti_NMe_NPh_3-F_3-CN.xyz
